S No,State Code,State Name,District LGD Code,District Name (In English),District Name (In Local language),Hierarchy,Short Name of District,Census 2001 Code,Census2011 Code,Pesa Status,View Details,View History,View Government Order,View Map
634,36,Telangana(State),509,Khammam,ఖమ్మం,Telangana(State),KMM,10,541,Partially Covered,,,,
635,36,Telangana(State),699,Kumuram Bheem Asifabad,కుమురం భీమ్ ఆసిఫాబాద్,Telangana(State),KMB,,000,Partially Covered,,,,
632,36,Telangana(State),685,Kamareddy,కామారెడ్డి,Telangana(State),KMD,,000,Not Covered,,,,
633,36,Telangana(State),508,Karimnagar,కరీంనగర్,Telangana(State),KRM,03,534,Not Covered,,,,
624,36,Telangana(State),501,Adilabad,ఆదిలాబాద్,Telangana(State),ADI,01,532,Partially Covered,,,,
6,28,Andhra Pradesh(State),502,Ananthapuramu,అనంతపురము,Andhra Pradesh(State),ANT,22,553,Not Covered,,,,
606,33,Tamil Nadu(State),731,Ranipet,ராணிப்பேட்டை,Tamil Nadu(State),RNP,,000,Not Covered,,,,
515,34,Puducherry(State),600,Puducherry,புதுச்சேரி,Puducherry(State),PON,02,635,Not Covered,,,,
609,33,Tamil Nadu(State),733,Tenkasi,தென்காசி,Tamil Nadu(State),TKS,,000,Not Covered,,,,
618,33,Tamil Nadu(State),732,Tirupathur,திருப்பத்தூர்,Tamil Nadu(State),TPR,,000,Not Covered,,,,
587,33,Tamil Nadu(State),730,Chengalpattu,செங்கல்பட்டு,Tamil Nadu(State),CGL,,000,Not Covered,,,,
514,34,Puducherry(State),598,Karaikal,காரைக்கால்,Puducherry(State),KKL,04,637,Not Covered,,,,
594,33,Tamil Nadu(State),729,Kallakurichi,கள்ளக்குறிச்சி,Tamil Nadu(State),KLL,,000,Not Covered,,,,
586,33,Tamil Nadu(State),610,Ariyalur,அரியலூர்,Tamil Nadu(State),ARI,17,616,Not Covered,,,,
496,21,Odisha(State),356,Jajpur,ଯାଜପୁର,Odisha(State),JJP,13,382,Not Covered,,,,
486,21,Odisha(State),346,Balasore,ବାଲେଶ୍ୱର,Odisha(State),BLW,08,377,Not Covered,,,,
484,21,Odisha(State),344,Angul,ଅନୁଗୋଳ,Odisha(State),ANU,15,384,Not Covered,,,,
210,24,Gujarat(State),789,Vav-Tharad,વાવ થરાદ,Gujarat(State),,,,Not Covered,,,,
196,24,Gujarat(State),669,Mahisagar,મહિસાગર,Gujarat(State),MSG,,000,Partially Covered,,,,
537,3,Punjab(State),39,Sri Muktsar Sahib,ਸ੍ਰੀ ਮੁਕਤਸਰ ਸਾਹਿਬ,Punjab(State),SMT,12,044,Not Covered,,,,
527,3,Punjab(State),36,Ludhiana,ਲੂਿਧਆਣਾ,Punjab(State),LDH,09,041,Not Covered,,,,
533,3,Punjab(State),42,Rupnagar,ਰੂਪਨਗਰ,Punjab(State),RPN,07,051,Not Covered,,,,
529,3,Punjab(State),37,Mansa,ਮਾਨਸਾ,Punjab(State),MNS,15,047,Not Covered,,,,
664,16,Tripura(State),653,Sepahijala,সিপাহিজলা,Tripura(State),SEP,,000,Not Covered,,,,
88,18,Assam(State),293,Sribhumi,শ্ৰীভূমি,Assam(State),KGJ,22,317,Not Covered,,,,
667,16,Tripura(State),272,West Tripura,পশ্চিম ত্রিপুরা,Tripura(State),WTR,01,289,Not Covered,,,,
660,16,Tripura(State),269,Dhalai,ধলাই,Tripura(State),DHL,03,291,Not Covered,,,,
665,16,Tripura(State),271,South Tripura,দক্ষিন ত্রিপুরা,Tripura(State),STR,02,290,Not Covered,,,,
661,16,Tripura(State),654,Gomati,গোমতি,Tripura(State),GOM,,000,Not Covered,,,,
662,16,Tripura(State),652,Khowai,খোয়াই,Tripura(State),KHO,,000,Not Covered,,,,
666,16,Tripura(State),655,Unakoti,ঊনকোটি,Tripura(State),UNK,,000,Not Covered,,,,
663,16,Tripura(State),270,North Tripura,উত্তর ত্রিপুরা,Tripura(State),NTR,04,292,Not Covered,,,,
